,category,corr_ans,masks,words,symbols
0,fairness.virtue,left,&&&&&&&&&&&,opportunity,images/symbols/symbol_37.png
1,care.vice,right,&&&&,shot,images/symbols/symbol_65.png
2,authority.vice,right,&&&&&&&,arrests,images/symbols/symbol_35.png
3,loyalty.vice,right,&&&&&,black,images/symbols/symbol_18.png
4,fairness.vice,right,&&&&&,fraud,images/symbols/symbol_45.png
5,sanctity.virtue,left,&&&&&&&&,strength,images/symbols/symbol_76.png
6,fairness.vice,right,&&&&,hate,images/symbols/symbol_27.png
7,care.vice,right,&&&&,died,images/symbols/symbol_5.png
8,sanctity.virtue,left,&&&&&,faith,images/symbols/symbol_22.png
9,nonword,,&&&&&&&,gryssed,images/symbols/symbol_43.png
10,loyalty.virtue,left,&&&&&&,strong,images/symbols/symbol_82.png
11,fairness.virtue,left,&&&&&&&&&,interests,images/symbols/symbol_59.png
12,care.vice,right,&&&&&&&,torture,images/symbols/symbol_42.png
13,nonword,,&&&&&,weudd,images/symbols/symbol_25.png
14,loyalty.vice,right,&&&,ban,images/symbols/symbol_78.png
15,care.vice,right,&&&&&&,killed,images/symbols/symbol_2.png
16,sanctity.vice,right,&&&&&&&&&&,corruption,images/symbols/symbol_50.png
17,control,right,&&&&&&&,pleasant,images/symbols/symbol_39.png
18,nonword,,&&&&&&,knewed,images/symbols/symbol_46.png
19,sanctity.virtue,left,&&&&&&&&&&,commitment,images/symbols/symbol_24.png
20,care.vice,right,&&&&&&&,injured,images/symbols/symbol_66.png
21,nonword,,&&&&&,jipte,images/symbols/symbol_56.png
22,authority.vice,right,&&&,gun,images/symbols/symbol_75.png
23,authority.virtue,left,&&&&&&&&,progress,images/symbols/symbol_77.png
24,loyalty.virtue,left,&&&&&&&,praised,images/symbols/symbol_74.png
25,sanctity.vice,right,&&&&&&&&&&,violations,images/symbols/symbol_21.png
26,sanctity.virtue,left,&&&&&&,energy,images/symbols/symbol_20.png
27,sanctity.vice,right,&&&&,fear,images/symbols/symbol_9.png
28,loyalty.vice,right,&&&&&&&,critics,images/symbols/symbol_53.png
29,nonword,,&&&&&&&,thripht,images/symbols/symbol_10.png
30,nonword,,&&&&&&&&,pheassed,images/symbols/symbol_7.png
31,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_51.png
32,sanctity.vice,right,&&&&&,abuse,images/symbols/symbol_4.png
33,care.vice,right,&&&&&&&,suicide,images/symbols/symbol_32.png
34,fairness.virtue,left,&&&&,free,images/symbols/symbol_23.png
35,authority.virtue,left,&&&&&,trust,images/symbols/symbol_81.png
36,sanctity.vice,right,&&&&&&,racist,images/symbols/symbol_49.png
37,loyalty.virtue,left,&&&&,hope,images/symbols/symbol_44.png
38,authority.virtue,left,&&&&&&&,embrace,images/symbols/symbol_58.png
39,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_19.png
40,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_13.png
41,fairness.vice,right,&&&&&&&&&&,terrorists,images/symbols/symbol_69.png
42,care.virtue,left,&&&&&&,health,images/symbols/symbol_40.png
43,loyalty.vice,right,&&&&&&&,failure,images/symbols/symbol_73.png
44,loyalty.vice,right,&&&&&&&&&,terrorist,images/symbols/symbol_68.png
45,fairness.virtue,left,&&&,win,images/symbols/symbol_30.png
46,nonword,,&&&&&,wayed,images/symbols/symbol_36.png
47,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_1.png
48,care.vice,right,&&&&&&,victim,images/symbols/symbol_70.png
49,fairness.virtue,left,&&&&&&&&&,agreement,images/symbols/symbol_63.png
50,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_28.png
51,care.virtue,left,&&&&&,peace,images/symbols/symbol_79.png
52,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_3.png
53,authority.virtue,left,&&&&&&,useful,images/symbols/symbol_12.png
54,care.virtue,left,&&&&&&&&&&,compassion,images/symbols/symbol_14.png
55,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_55.png
56,care.virtue,left,&&&&,good,images/symbols/symbol_80.png
57,care.virtue,left,&&&&,help,images/symbols/symbol_11.png
58,authority.vice,right,&&&&&&&,refused,images/symbols/symbol_17.png
59,sanctity.vice,right,&&&,war,images/symbols/symbol_60.png
60,loyalty.vice,right,&&&,men,images/symbols/symbol_64.png
61,authority.vice,right,&&&&,riot,images/symbols/symbol_48.png
62,care.virtue,left,&&&&&&,safety,images/symbols/symbol_31.png
63,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_15.png
64,fairness.vice,right,&&&&&,voter,images/symbols/symbol_41.png
65,care.virtue,left,&&&&&&&&,increase,images/symbols/symbol_38.png
66,loyalty.vice,right,&&&&,army,images/symbols/symbol_52.png
67,nonword,,&&&&&&&,bluphte,images/symbols/symbol_54.png
68,authority.vice,right,&&&&&&,police,images/symbols/symbol_71.png
69,sanctity.virtue,left,&&&&&&&,freedom,images/symbols/symbol_16.png
70,nonword,,&&&&&&&,slypped,images/symbols/symbol_57.png
71,nonword,,&&&&&,doars,images/symbols/symbol_34.png
72,authority.vice,right,&&&&&&&&,officers,images/symbols/symbol_33.png
73,authority.virtue,left,&&&&&&&&,peaceful,images/symbols/symbol_8.png
74,fairness.vice,right,&&&&&,crime,images/symbols/symbol_67.png
75,sanctity.vice,right,&&&&&&&&&&,harassment,images/symbols/symbol_47.png
76,fairness.vice,right,&&&&,lies,images/symbols/symbol_62.png
77,fairness.virtue,left,&&&&,fair,images/symbols/symbol_6.png
78,loyalty.virtue,left,&&&&&&&,loyalty,images/symbols/symbol_29.png
