,category,corr_ans,masks,words,symbols
0,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_70.png
1,fairness.vice,right,&&&&&&&,charges,images/symbols/symbol_71.png
2,fairness.vice,right,&&&&&&&,illegal,images/symbols/symbol_63.png
3,loyalty.virtue,left,&&&&&&&,loyalty,images/symbols/symbol_4.png
4,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_74.png
5,care.virtue,left,&&&&&&&,improve,images/symbols/symbol_58.png
6,sanctity.vice,right,&&&,war,images/symbols/symbol_21.png
7,authority.virtue,left,&&&&&&&,embrace,images/symbols/symbol_65.png
8,nonword,,&&&&&,wayed,images/symbols/symbol_60.png
9,sanctity.vice,right,&&&&&&,sexual,images/symbols/symbol_18.png
10,loyalty.vice,right,&&&&&&&,critics,images/symbols/symbol_31.png
11,authority.vice,right,&&&&&&&&,officers,images/symbols/symbol_32.png
12,authority.virtue,left,&&&&&&&&,peaceful,images/symbols/symbol_45.png
13,care.vice,right,&&&&&&&,attacks,images/symbols/symbol_64.png
14,care.virtue,left,&&&&&&&&,increase,images/symbols/symbol_24.png
15,nonword,,&&&&&&&,phlaide,images/symbols/symbol_22.png
16,care.virtue,left,&&&&,help,images/symbols/symbol_76.png
17,care.vice,right,&&&&&&&&,violence,images/symbols/symbol_47.png
18,sanctity.vice,right,&&&&&,abuse,images/symbols/symbol_27.png
19,loyalty.vice,right,&&&&&&&,slavery,images/symbols/symbol_11.png
20,nonword,,&&&&&,crict,images/symbols/symbol_14.png
21,authority.vice,right,&&&&&&&,penalty,images/symbols/symbol_38.png
22,authority.vice,right,&&&,gun,images/symbols/symbol_79.png
23,fairness.virtue,left,&&&&&&&,benefit,images/symbols/symbol_35.png
24,fairness.vice,right,&&&&&&,prison,images/symbols/symbol_66.png
25,nonword,,&&&&&,naidd,images/symbols/symbol_2.png
26,sanctity.virtue,left,&&&&&&&,promote,images/symbols/symbol_52.png
27,loyalty.vice,right,&&&,ban,images/symbols/symbol_42.png
28,care.virtue,left,&&&&&&,health,images/symbols/symbol_73.png
29,care.vice,right,&&&&&&,killed,images/symbols/symbol_41.png
30,care.virtue,left,&&&&,care,images/symbols/symbol_10.png
31,nonword,,&&&&&&,wreize,images/symbols/symbol_44.png
32,sanctity.vice,right,&&&&&&&&&&,corruption,images/symbols/symbol_33.png
33,sanctity.virtue,left,&&&&&&&&&&,commitment,images/symbols/symbol_37.png
34,fairness.vice,right,&&&&&,crime,images/symbols/symbol_15.png
35,loyalty.vice,right,&&&&&&&&,betrayal,images/symbols/symbol_49.png
36,nonword,,&&&&&&,brored,images/symbols/symbol_77.png
37,loyalty.virtue,left,&&&&,hope,images/symbols/symbol_56.png
38,authority.virtue,left,&&&&&&&,ability,images/symbols/symbol_75.png
39,authority.virtue,left,&&&&&&&&&&,celebrated,images/symbols/symbol_69.png
40,fairness.vice,right,&&&&,lies,images/symbols/symbol_59.png
41,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_9.png
42,nonword,,&&&&&&&,phegned,images/symbols/symbol_55.png
43,authority.vice,right,&&&&&&&,arrests,images/symbols/symbol_26.png
44,sanctity.vice,right,&&&&,fear,images/symbols/symbol_53.png
45,care.vice,right,&&&&&&&&&,civilians,images/symbols/symbol_28.png
46,authority.virtue,left,&&&&&&&&,progress,images/symbols/symbol_29.png
47,authority.virtue,left,&&&&&&,useful,images/symbols/symbol_19.png
48,fairness.virtue,left,&&&&&&&&,promises,images/symbols/symbol_46.png
49,loyalty.virtue,left,&&&&&&&,sharing,images/symbols/symbol_5.png
50,loyalty.virtue,left,&&&&&&&,support,images/symbols/symbol_7.png
51,nonword,,&&&&&,feuld,images/symbols/symbol_67.png
52,care.vice,right,&&&&&&&,victims,images/symbols/symbol_25.png
53,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_62.png
54,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_36.png
55,loyalty.vice,right,&&&,men,images/symbols/symbol_48.png
56,fairness.virtue,left,&&&,win,images/symbols/symbol_81.png
57,control,right,&&&&&&&,pleasant,images/symbols/symbol_3.png
58,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_68.png
59,sanctity.vice,right,&&&&,drug,images/symbols/symbol_80.png
60,fairness.virtue,left,&&&&&&,ensure,images/symbols/symbol_43.png
61,authority.vice,right,&&&&&&,police,images/symbols/symbol_57.png
62,authority.virtue,left,&&&&&,trust,images/symbols/symbol_6.png
63,sanctity.virtue,left,&&&&&&&,perfect,images/symbols/symbol_12.png
64,care.virtue,left,&&&&&&,growth,images/symbols/symbol_72.png
65,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_61.png
66,sanctity.virtue,left,&&&&&,clean,images/symbols/symbol_23.png
67,fairness.virtue,left,&&&&&&&&&&&,opportunity,images/symbols/symbol_16.png
68,fairness.vice,right,&&&&&&,forced,images/symbols/symbol_39.png
69,care.virtue,left,&&&&,safe,images/symbols/symbol_51.png
70,loyalty.virtue,left,&&&&&&&&,promised,images/symbols/symbol_54.png
71,care.vice,right,&&&&,died,images/symbols/symbol_34.png
72,care.vice,right,&&&&,shot,images/symbols/symbol_40.png
73,loyalty.virtue,left,&&&&&,party,images/symbols/symbol_30.png
74,nonword,,&&&&&,phlux,images/symbols/symbol_50.png
75,authority.vice,right,&&&&&&&&,rejected,images/symbols/symbol_78.png
76,sanctity.virtue,left,&&&&&&&,freedom,images/symbols/symbol_1.png
77,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_8.png
78,loyalty.vice,right,&&&&&,black,images/symbols/symbol_17.png
79,authority.vice,right,&&&&&&&,refused,images/symbols/symbol_20.png
80,nonword,,&&&&&,snauz,images/symbols/symbol_13.png
81,fairness.virtue,left,&&&&,free,images/symbols/symbol_82.png
82,care.vice,right,&&&&&&&,victims,images/symbols/symbol_13.png
83,authority.vice,right,&&&&&&&,penalty,images/symbols/symbol_18.png
84,loyalty.virtue,left,&&&&&&&,sharing,images/symbols/symbol_61.png
85,fairness.vice,right,&&&&&&&,illegal,images/symbols/symbol_30.png
86,sanctity.virtue,left,&&&&&&&,freedom,images/symbols/symbol_2.png
87,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_20.png
88,care.vice,right,&&&&&&&&,violence,images/symbols/symbol_36.png
89,loyalty.virtue,left,&&&&&,party,images/symbols/symbol_17.png
90,sanctity.vice,right,&&&&,drug,images/symbols/symbol_27.png
91,authority.vice,right,&&&&&&&,arrests,images/symbols/symbol_41.png
92,authority.vice,right,&&&&&&&&,officers,images/symbols/symbol_48.png
93,care.vice,right,&&&&&&&,attacks,images/symbols/symbol_60.png
94,loyalty.vice,right,&&&&&,black,images/symbols/symbol_56.png
95,care.vice,right,&&&&,died,images/symbols/symbol_31.png
96,fairness.vice,right,&&&&&,crime,images/symbols/symbol_26.png
97,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_43.png
98,nonword,,&&&&&&,brored,images/symbols/symbol_67.png
99,sanctity.vice,right,&&&,war,images/symbols/symbol_79.png
100,nonword,,&&&&&,naidd,images/symbols/symbol_57.png
101,nonword,,&&&&&&&,phegned,images/symbols/symbol_25.png
102,sanctity.virtue,left,&&&&&&&,promote,images/symbols/symbol_45.png
103,care.vice,right,&&&&,shot,images/symbols/symbol_6.png
104,sanctity.vice,right,&&&&&&,sexual,images/symbols/symbol_69.png
105,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_3.png
106,sanctity.vice,right,&&&&&&&&&&,corruption,images/symbols/symbol_75.png
107,authority.vice,right,&&&&&&,police,images/symbols/symbol_10.png
108,fairness.virtue,left,&&&&&&&,benefit,images/symbols/symbol_64.png
109,loyalty.vice,right,&&&,men,images/symbols/symbol_11.png
110,authority.virtue,left,&&&&&&&&,peaceful,images/symbols/symbol_82.png
111,loyalty.virtue,left,&&&&,hope,images/symbols/symbol_21.png
112,loyalty.vice,right,&&&,ban,images/symbols/symbol_16.png
113,care.virtue,left,&&&&,safe,images/symbols/symbol_70.png
114,authority.virtue,left,&&&&&&&,ability,images/symbols/symbol_28.png
115,nonword,,&&&&&,phlux,images/symbols/symbol_8.png
116,authority.virtue,left,&&&&&,trust,images/symbols/symbol_33.png
117,fairness.vice,right,&&&&&&,prison,images/symbols/symbol_34.png
118,fairness.virtue,left,&&&&&&&&,promises,images/symbols/symbol_46.png
119,control,right,&&&&&&&,pleasant,images/symbols/symbol_63.png
120,fairness.virtue,left,&&&&&&,ensure,images/symbols/symbol_24.png
121,authority.vice,right,&&&&&&&&,rejected,images/symbols/symbol_22.png
122,authority.vice,right,&&&,gun,images/symbols/symbol_5.png
123,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_52.png
124,loyalty.vice,right,&&&&&&&,slavery,images/symbols/symbol_19.png
125,care.virtue,left,&&&&&&&&,increase,images/symbols/symbol_15.png
126,nonword,,&&&&&,crict,images/symbols/symbol_78.png
127,sanctity.vice,right,&&&&&,abuse,images/symbols/symbol_9.png
128,authority.vice,right,&&&&&&&,refused,images/symbols/symbol_32.png
129,loyalty.virtue,left,&&&&&&&,loyalty,images/symbols/symbol_44.png
130,nonword,,&&&&&,wayed,images/symbols/symbol_62.png
131,care.vice,right,&&&&&&&&&,civilians,images/symbols/symbol_42.png
132,nonword,,&&&&&,feuld,images/symbols/symbol_23.png
133,fairness.vice,right,&&&&,lies,images/symbols/symbol_35.png
134,fairness.vice,right,&&&&&&,forced,images/symbols/symbol_68.png
135,care.virtue,left,&&&&,help,images/symbols/symbol_53.png
136,fairness.vice,right,&&&&&&&,charges,images/symbols/symbol_76.png
137,loyalty.virtue,left,&&&&&&&,support,images/symbols/symbol_65.png
138,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_29.png
139,loyalty.vice,right,&&&&&&&&,betrayal,images/symbols/symbol_51.png
140,care.virtue,left,&&&&&&&,improve,images/symbols/symbol_14.png
141,nonword,,&&&&&,snauz,images/symbols/symbol_66.png
142,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_38.png
143,care.vice,right,&&&&&&,killed,images/symbols/symbol_59.png
144,sanctity.virtue,left,&&&&&&&,perfect,images/symbols/symbol_50.png
145,sanctity.virtue,left,&&&&&,clean,images/symbols/symbol_4.png
146,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_81.png
147,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_1.png
148,fairness.virtue,left,&&&,win,images/symbols/symbol_74.png
149,authority.virtue,left,&&&&&&&,embrace,images/symbols/symbol_58.png
150,authority.virtue,left,&&&&&&,useful,images/symbols/symbol_72.png
151,authority.virtue,left,&&&&&&&&&&,celebrated,images/symbols/symbol_47.png
152,nonword,,&&&&&&,wreize,images/symbols/symbol_40.png
153,loyalty.vice,right,&&&&&&&,critics,images/symbols/symbol_37.png
154,care.virtue,left,&&&&&&,health,images/symbols/symbol_55.png
155,fairness.virtue,left,&&&&&&&&&&&,opportunity,images/symbols/symbol_80.png
156,care.virtue,left,&&&&,care,images/symbols/symbol_73.png
157,authority.virtue,left,&&&&&&&&,progress,images/symbols/symbol_39.png
158,sanctity.vice,right,&&&&,fear,images/symbols/symbol_12.png
159,nonword,,&&&&&&&,phlaide,images/symbols/symbol_49.png
160,care.virtue,left,&&&&&&,growth,images/symbols/symbol_71.png
161,loyalty.virtue,left,&&&&&&&&,promised,images/symbols/symbol_7.png
162,sanctity.virtue,left,&&&&&&&&&&,commitment,images/symbols/symbol_54.png
163,fairness.virtue,left,&&&&,free,images/symbols/symbol_77.png
164,care.virtue,left,&&&&&&,health,images/symbols/symbol_57.png
165,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_22.png
166,authority.virtue,left,&&&&&,trust,images/symbols/symbol_16.png
167,authority.virtue,left,&&&&&&&&&&,celebrated,images/symbols/symbol_20.png
168,nonword,,&&&&&&&,phlaide,images/symbols/symbol_44.png
169,care.virtue,left,&&&&,help,images/symbols/symbol_7.png
170,loyalty.virtue,left,&&&&&&&&,promised,images/symbols/symbol_26.png
171,fairness.virtue,left,&&&&&&&&,promises,images/symbols/symbol_64.png
172,nonword,,&&&&&,naidd,images/symbols/symbol_80.png
173,care.vice,right,&&&&,shot,images/symbols/symbol_46.png
174,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_11.png
175,fairness.vice,right,&&&&,lies,images/symbols/symbol_72.png
176,authority.vice,right,&&&,gun,images/symbols/symbol_74.png
177,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_18.png
178,care.vice,right,&&&&,died,images/symbols/symbol_58.png
179,loyalty.vice,right,&&&&&,black,images/symbols/symbol_24.png
180,sanctity.virtue,left,&&&&&&&&&&,commitment,images/symbols/symbol_79.png
181,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_81.png
182,loyalty.vice,right,&&&&&&&,slavery,images/symbols/symbol_14.png
