,category,corr_ans,mask,words
0,care.virtue,left,&&&&,care
1,care.virtue,left,&&&&&,peace
2,care.virtue,left,&&&&&&&&&&,compassion
3,care.virtue,left,&&&&&&&,improve
4,care.virtue,left,&&&&&&&,restore
5,care.vice,left,&&&&&&&,attacks
6,care.vice,left,&&&&&&&&&,civilians
7,care.vice,left,&&&&&&&,suicide
8,care.vice,left,&&&&&&&,torture
9,care.vice,left,&&&&&&&,victims
10,fairness.virtue,left,&&&&,free
11,fairness.virtue,left,&&&&&&&,benefit
12,fairness.virtue,left,&&&&,fair
13,fairness.virtue,left,&&&,win
14,fairness.virtue,left,&&&&&&&&,promises
15,fairness.vice,left,&&&&&,fraud
16,fairness.vice,left,&&&&&,crime
17,fairness.vice,left,&&&&&&&,accused
18,fairness.vice,left,&&&&&&&,charges
19,fairness.vice,left,&&&&&&&&&&,terrorists
20,loyalty.virtue,left,&&&&&&&,friends
21,loyalty.virtue,left,&&&&&,party
22,loyalty.virtue,left,&&&&&&&,loyalty
23,loyalty.virtue,left,&&&&,hope
24,loyalty.virtue,left,&&&&&&&&,promised
25,loyalty.vice,left,&&&,ban
26,loyalty.vice,left,&&&&&,black
27,loyalty.vice,left,&&&&&&,troops
28,loyalty.vice,left,&&&,men
29,loyalty.vice,left,&&&&,army
30,authority.virtue,left,&&&&&&&,embrace
31,authority.virtue,left,&&&&&&&&,powerful
32,authority.virtue,left,&&&&&&&&&&,celebrated
33,authority.virtue,left,&&&&&&&,ability
34,authority.virtue,left,&&&&&&&&,peaceful
35,authority.vice,left,&&&&&&&&,officers
36,authority.vice,left,&&&&&&,rebels
37,authority.vice,left,&&&&&&&&&&,protesters
38,authority.vice,left,&&&&&&&&&&&,prosecution
39,authority.vice,left,&&&&&&&,refused
40,sanctity.virtue,left,&&&&&&,values
41,sanctity.virtue,left,&&&&&&&,freedom
42,sanctity.virtue,left,&&&&&&&,respect
43,sanctity.virtue,left,&&&&&,faith
44,sanctity.virtue,left,&&&&&&,energy
45,sanctity.vice,left,&&&&&,abuse
46,sanctity.vice,left,&&&&&&,racist
47,sanctity.vice,left,&&&,war
48,sanctity.vice,left,&&&&&&,serial
49,sanctity.vice,left,&&&&,fear
50,neutral,left,&&&&&&&&,latterly
51,neutral,left,&&&&&&,hereby
52,neutral,left,&&&&&,forty
53,neutral,left,&&&&&&&&,although
54,neutral,left,&&&&&&&&&&,whereafter
55,neutral,left,&&&&,also
56,neutral,left,&&&&&&&&,wherever
57,neutral,left,&&&&&&,either
58,neutral,left,&&&&&,about
59,neutral,left,&&&&&&&&&&,everything
60,neutral,left,&&&&&,three
61,neutral,left,&&&&&,fifty
62,neutral,left,&&&&&,hence
63,neutral,left,&&&&&&,amount
64,neutral,left,&&&&&&,latter
65,neutral,left,&&&&&&&&,amoungst
66,neutral,left,&&&&&&&,whither
67,neutral,left,&&&&,each
68,neutral,left,&&&&,thru
69,neutral,left,&&&&&,could
70,neutral,left,&&&&&&,myself
71,neutral,left,&&&&&&&,fifteen
72,neutral,left,&&&&&,eight
73,neutral,left,&&&&,less
74,neutral,left,&&&&&&&&&,elsewhere
75,neutral,left,&&&&&&&,couldnt
76,neutral,left,&&&&&&&,besides
77,neutral,left,&&&&,even
78,neutral,left,&&&&,both
79,neutral,left,&&&&&&&,towards
80,neutral,left,&&&&,give
81,neutral,left,&&&&,done
82,neutral,left,&&&&&,noone
83,neutral,left,&&&&&&&&&,therefore
84,neutral,left,&&&&,with
85,neutral,left,&&&&,else
86,neutral,left,&&&&&&,toward
87,neutral,left,&&&&&&&&,anything
88,neutral,left,&&&&&&&,somehow
89,neutral,left,&&&&&,least
90,neutral,left,&&&&,were
91,neutral,left,&&&&&,there
92,neutral,left,&&&&,been
93,neutral,left,&&&&&,front
94,neutral,left,&&&&&&,mostly
95,neutral,left,&&&&,seem
96,neutral,left,&&&&&&,itself
97,neutral,left,&&&&&&&,further
98,neutral,left,&&&&&&,anyhow
99,neutral,left,&&&&&&,become
100,nonword,left,&&&&&&&,spraize
101,nonword,left,&&&&&&,knewed
102,nonword,left,&&&&&&,dighnd
103,nonword,left,&&&&&&,mawlde
104,nonword,left,&&&&&&&,scrauld
105,nonword,left,&&&&&,weudd
106,nonword,left,&&&&&,rheys
107,nonword,left,&&&&&&,phluks
108,nonword,left,&&&&&&,clorze
109,nonword,left,&&&&&,wayed
110,nonword,left,&&&&&&,crarft
111,nonword,left,&&&&&&&,stailde
112,nonword,left,&&&&&,phiks
113,nonword,left,&&&&&,spewd
114,nonword,left,&&&&&&,stintz
115,nonword,left,&&&&&,skard
116,nonword,left,&&&&&&,chawde
117,nonword,left,&&&&&&&,squauzz
