,category,corr_ans,mask,words
0,care.virtue,left,&&&&,care
1,care.virtue,left,&&&&,help
2,care.virtue,left,&&&&&&,health
3,care.virtue,left,&&&&&,peace
4,care.virtue,left,&&&&&&&,restore
5,care.vice,left,&&&&&,death
6,care.vice,left,&&&&&&&,attacks
7,care.vice,left,&&&&&&&&&,civilians
8,care.vice,left,&&&&&&&,torture
9,care.vice,left,&&&&&&,victim
10,fairness.virtue,left,&&&&,free
11,fairness.virtue,left,&&&&&&,ensure
12,fairness.virtue,left,&&&&&&,credit
13,fairness.virtue,left,&&&&&&&&&&&,opportunity
14,fairness.virtue,left,&&&&&&&&,promises
15,fairness.vice,left,&&&&&,fraud
16,fairness.vice,left,&&&&&&&,illegal
17,fairness.vice,left,&&&&&,crime
18,fairness.vice,left,&&&&&&&,accused
19,fairness.vice,left,&&&&&,voter
20,loyalty.virtue,left,&&&&&&&,support
21,loyalty.virtue,left,&&&&&&&,friends
22,loyalty.virtue,left,&&&&&&&,loyalty
23,loyalty.virtue,left,&&&&&&&&,promised
24,loyalty.virtue,left,&&&&&&&,praised
25,loyalty.vice,left,&&&&&&,troops
26,loyalty.vice,left,&&&&&&,blamed
27,loyalty.vice,left,&&&,men
28,loyalty.vice,left,&&&&&&&&,betrayal
29,loyalty.vice,left,&&&&&&&,critics
30,authority.virtue,left,&&&&&&&&,actively
31,authority.virtue,left,&&&&&&&&,powerful
32,authority.virtue,left,&&&&&&&,honored
33,authority.virtue,left,&&&&&&&&&&,celebrated
34,authority.virtue,left,&&&&&&&&,progress
35,authority.vice,left,&&&&&&&&,rejected
36,authority.vice,left,&&&&&&&&&&,protesters
37,authority.vice,left,&&&&&&&&,fighters
38,authority.vice,left,&&&&,riot
39,authority.vice,left,&&&&&&&,arrests
40,sanctity.virtue,left,&&&&&&,values
41,sanctity.virtue,left,&&&&&&&&&&,commitment
42,sanctity.virtue,left,&&&&&&&&,strength
43,sanctity.virtue,left,&&&&&&&,promote
44,sanctity.virtue,left,&&&&&&,energy
45,sanctity.vice,left,&&&,war
46,sanctity.vice,left,&&&&,drug
47,sanctity.vice,left,&&&&,fear
48,sanctity.vice,left,&&&&&&&,scandal
49,sanctity.vice,left,&&&&&&&&&&,harassment
50,neutral,left,&&&&&&&&,latterly
51,neutral,left,&&&&&&,hereby
52,neutral,left,&&&&&,forty
53,neutral,left,&&&&&&&&,although
54,neutral,left,&&&&&&&&&&,whereafter
55,neutral,left,&&&&,also
56,neutral,left,&&&&&&&&,wherever
57,neutral,left,&&&&&&,either
58,neutral,left,&&&&&,about
59,neutral,left,&&&&&&&&&&,everything
60,neutral,left,&&&&&,three
61,neutral,left,&&&&&,fifty
62,neutral,left,&&&&&,hence
63,neutral,left,&&&&&&,amount
64,neutral,left,&&&&&&,latter
65,neutral,left,&&&&&&&&,amoungst
66,neutral,left,&&&&&&&,whither
67,neutral,left,&&&&,each
68,neutral,left,&&&&,thru
69,neutral,left,&&&&&,could
70,neutral,left,&&&&&&,myself
71,neutral,left,&&&&&&&,fifteen
72,neutral,left,&&&&&,eight
73,neutral,left,&&&&,less
74,neutral,left,&&&&&&&&&,elsewhere
75,neutral,left,&&&&&&&,couldnt
76,neutral,left,&&&&&&&,besides
77,neutral,left,&&&&,even
78,neutral,left,&&&&,both
79,neutral,left,&&&&&&&,towards
80,neutral,left,&&&&,give
81,neutral,left,&&&&,done
82,neutral,left,&&&&&,noone
83,neutral,left,&&&&&&&&&,therefore
84,neutral,left,&&&&,with
85,neutral,left,&&&&,else
86,neutral,left,&&&&&&,toward
87,neutral,left,&&&&&&&&,anything
88,neutral,left,&&&&&&&,somehow
89,neutral,left,&&&&&,least
90,neutral,left,&&&&,were
91,neutral,left,&&&&&,there
92,neutral,left,&&&&,been
93,neutral,left,&&&&&,front
94,neutral,left,&&&&&&,mostly
95,neutral,left,&&&&,seem
96,neutral,left,&&&&&&,itself
97,neutral,left,&&&&&&&,further
98,neutral,left,&&&&&&,anyhow
99,neutral,left,&&&&&&,become
100,nonword,left,&&&&&&&,spraize
101,nonword,left,&&&&&&,knewed
102,nonword,left,&&&&&&,dighnd
103,nonword,left,&&&&&&,mawlde
104,nonword,left,&&&&&&&&,squintce
105,nonword,left,&&&&&&&,scrauld
106,nonword,left,&&&&&,weudd
107,nonword,left,&&&&&,rheys
108,nonword,left,&&&&&&,phluks
109,nonword,left,&&&&&&,clorze
110,nonword,left,&&&&&,wayed
111,nonword,left,&&&&&&,crarft
112,nonword,left,&&&&&,spewd
113,nonword,left,&&&&&&,stintz
114,nonword,left,&&&&&,skard
115,nonword,left,&&&&&&,chawde
116,nonword,left,&&&&&&,wreize
117,nonword,left,&&&&&&&,squauzz
118,nonword,left,&&&&&,kuntz
119,nonword,left,&&&&&,cifte
120,nonword,left,&&&&&&&&,rhuissed
121,nonword,left,&&&&&&&&,rhailled
122,nonword,left,&&&&&,snoze
123,nonword,left,&&&&&,thinx
124,nonword,left,&&&&&,yakks
125,nonword,left,&&&&&,twild
126,nonword,left,&&&&&&,stroad
127,nonword,left,&&&&&&,phigns
128,nonword,left,&&&&&&,wraize
129,nonword,left,&&&&&&&,pseighs
130,nonword,left,&&&&&&,prinse
131,nonword,left,&&&&&&,psured
132,nonword,left,&&&&&&,graidd
133,nonword,left,&&&&&&,gnoozz
134,nonword,left,&&&&&,shind
135,nonword,left,&&&&&,plonx
136,nonword,left,&&&&&,frord
