,category,corr_ans,masks,words,symbols
0,sanctity.vice,right,&&&,war,images/symbols/symbol_66.png
1,authority.virtue,left,&&&&&&&&&&,celebrated,images/symbols/symbol_6.png
2,loyalty.virtue,left,&&&&&&&&,promised,images/symbols/symbol_81.png
3,authority.virtue,left,&&&&&&&,ability,images/symbols/symbol_9.png
4,care.virtue,left,&&&&&&,growth,images/symbols/symbol_26.png
5,nonword,,&&&&&,beest,images/symbols/symbol_48.png
6,authority.vice,right,&&&&&&&&,fighters,images/symbols/symbol_49.png
7,fairness.vice,right,&&&&&&&&&&,terrorists,images/symbols/symbol_23.png
8,sanctity.virtue,left,&&&&&&&,dignity,images/symbols/symbol_51.png
9,care.virtue,left,&&&&&,peace,images/symbols/symbol_62.png
10,loyalty.virtue,left,&&&&&&&,loyalty,images/symbols/symbol_12.png
11,nonword,,&&&&&,laudd,images/symbols/symbol_78.png
12,care.virtue,left,&&&&&&&&,increase,images/symbols/symbol_76.png
13,nonword,,&&&&&,doars,images/symbols/symbol_82.png
14,fairness.virtue,left,&&&&,free,images/symbols/symbol_56.png
15,fairness.vice,right,&&&&&&&&&&,threatened,images/symbols/symbol_27.png
16,loyalty.vice,right,&&&&&&&,slavery,images/symbols/symbol_45.png
17,authority.vice,right,&&&&,riot,images/symbols/symbol_34.png
18,fairness.vice,right,&&&&&,crime,images/symbols/symbol_71.png
19,nonword,,&&&&&&,feulde,images/symbols/symbol_47.png
20,fairness.vice,right,&&&&&&,prison,images/symbols/symbol_59.png
21,sanctity.virtue,left,&&&&&&&,perfect,images/symbols/symbol_39.png
22,authority.virtue,left,&&&&&&,praise,images/symbols/symbol_18.png
23,control,right,&&&&&&&,pleasant,images/symbols/symbol_54.png
24,sanctity.vice,right,&&&&&&,racist,images/symbols/symbol_53.png
25,sanctity.virtue,left,&&&&&&&,respect,images/symbols/symbol_35.png
26,sanctity.vice,right,&&&&&&&&&&,conspiracy,images/symbols/symbol_60.png
27,nonword,,&&&&&,choes,images/symbols/symbol_4.png
28,authority.vice,right,&&&&&&&,refused,images/symbols/symbol_77.png
29,authority.virtue,left,&&&&&&&&,progress,images/symbols/symbol_19.png
30,fairness.virtue,left,&&&&&&&,benefit,images/symbols/symbol_33.png
31,fairness.virtue,left,&&&,win,images/symbols/symbol_37.png
32,sanctity.virtue,left,&&&&&&,values,images/symbols/symbol_73.png
33,sanctity.vice,right,&&&&&&&&&&,corruption,images/symbols/symbol_61.png
34,sanctity.vice,right,&&&&&&&&&&,violations,images/symbols/symbol_72.png
35,fairness.virtue,left,&&&&&&&&&,integrity,images/symbols/symbol_20.png
36,fairness.vice,right,&&&&&&&,charges,images/symbols/symbol_40.png
37,loyalty.virtue,left,&&&&&&&,support,images/symbols/symbol_65.png
38,care.virtue,left,&&&&&&,safety,images/symbols/symbol_15.png
39,loyalty.vice,right,&&&&&,black,images/symbols/symbol_24.png
40,loyalty.vice,right,&&&,ban,images/symbols/symbol_16.png
41,loyalty.vice,right,&&&&&&,blamed,images/symbols/symbol_1.png
42,loyalty.vice,right,&&&&,army,images/symbols/symbol_21.png
43,fairness.vice,right,&&&&&&&,accused,images/symbols/symbol_41.png
44,care.vice,right,&&&&,died,images/symbols/symbol_11.png
45,nonword,,&&&&&&&,pseighs,images/symbols/symbol_31.png
46,sanctity.virtue,left,&&&&,hand,images/symbols/symbol_28.png
47,care.vice,right,&&&&&&&,attacks,images/symbols/symbol_80.png
48,nonword,,&&&&&&,ailled,images/symbols/symbol_58.png
49,authority.virtue,left,&&&&&&&&,actively,images/symbols/symbol_69.png
50,authority.virtue,left,&&&&&&&,honored,images/symbols/symbol_13.png
51,nonword,,&&&&&,rhoas,images/symbols/symbol_42.png
52,care.vice,right,&&&&&&&&&,civilians,images/symbols/symbol_67.png
53,sanctity.vice,right,&&&&&&,sexual,images/symbols/symbol_55.png
54,sanctity.virtue,left,&&&&&&&&&&,commitment,images/symbols/symbol_14.png
55,fairness.virtue,left,&&&&&&&,protect,images/symbols/symbol_74.png
56,authority.vice,right,&&&&&&&,penalty,images/symbols/symbol_70.png
57,sanctity.vice,right,&&&&&&,serial,images/symbols/symbol_25.png
58,care.vice,right,&&&&&,death,images/symbols/symbol_57.png
59,authority.virtue,left,&&&&&&,useful,images/symbols/symbol_7.png
60,authority.vice,right,&&&&&&,police,images/symbols/symbol_63.png
61,loyalty.vice,right,&&&&&&&&,betrayal,images/symbols/symbol_75.png
62,care.virtue,left,&&&&&&&,restore,images/symbols/symbol_29.png
63,loyalty.virtue,left,&&&&&&&,sharing,images/symbols/symbol_8.png
64,authority.vice,right,&&&&&&,rebels,images/symbols/symbol_3.png
65,care.vice,right,&&&&&&&,suicide,images/symbols/symbol_22.png
66,care.vice,right,&&&&&&,victim,images/symbols/symbol_30.png
67,nonword,,&&&&&&,knewed,images/symbols/symbol_64.png
68,nonword,,&&&&&,naidd,images/symbols/symbol_46.png
69,loyalty.virtue,left,&&&&&&&&&&&&,intelligence,images/symbols/symbol_38.png
70,care.virtue,left,&&&&,care,images/symbols/symbol_36.png
71,care.virtue,left,&&&&,good,images/symbols/symbol_32.png
72,loyalty.virtue,left,&&&&&&,strong,images/symbols/symbol_17.png
73,control,left,&&&&&&&&&,unpleasant,images/symbols/symbol_44.png
74,loyalty.virtue,left,&&&&&&&,friends,images/symbols/symbol_52.png
75,loyalty.vice,right,&&&,men,images/symbols/symbol_43.png
76,fairness.virtue,left,&&&&,fair,images/symbols/symbol_10.png
77,fairness.vice,right,&&&&,lies,images/symbols/symbol_2.png
78,fairness.virtue,left,&&&&&&&&&&&,opportunity,images/symbols/symbol_79.png
